Task,Outputs15,SurgCLIP_beta,SurgCLIP,Delta_vs_beta,Delta_vs_full
Cholec80 Phase,50.52 / 42.2,57.98 / 39.42,61.29 / 50.53,-7.46 Acc / +2.78 F1,-10.77 Acc / -8.33 F1
AutoLaparo Phase,54.97 / 43.23,55.72 / 45.95,69.14 / 56.37,-0.75 Acc / -2.72 F1,-14.17 Acc / -13.14 F1
StrasBypass70 Phase,19.63 / 18.91,31.24 / 26.05,32.37 / 30.78,-11.61 Acc / -7.14 F1,-12.74 Acc / -11.87 F1
HeiChole Phase,51.88 / 38.32,56.95 / 44.00,63.84 / 55.15,-5.07 Acc / -5.68 F1,-11.96 Acc / -16.83 F1
BernBypass70 Phase,9.6 / 11.71,18.30 / 15.06,23.90 / 19.68,-8.70 Acc / -3.35 F1,-14.30 Acc / -7.97 F1
GraSP Phase,36.51 / 27.62,34.77 / 27.98,41.49 / 34.94,+1.74 Acc / -0.36 F1,-4.98 Acc / -7.32 F1
GraSP Step,18.34 / 10.6,14.15 / 11.14,26.28 / 16.53,+4.19 Acc / -0.54 F1,-7.94 Acc / -5.93 F1
SARRARP50 Action,19.05 / 7.1,13.94 / 7.62,17.42 / 7.76,+5.11 Acc / -0.52 F1,+1.63 Acc / -0.66 F1
CholeT50 Triplet mAP,3.87,4.17,5.28,-0.30,-1.41
Cholec80 Tool mAP,29.72,36.77,40.80,-7.05,-11.08
HeiChole Tool mAP,35.08,31.47,36.79,+3.61,-1.71
GraSP Tool mAP,49.71,43.06,45.97,+6.65,+3.74
