Task,Outputs12,SurgCLIP_beta,SurgCLIP,Delta_vs_beta,Delta_vs_full
Cholec80 Phase,44.12 / 33.69,57.98 / 39.42,61.29 / 50.53,-13.86 Acc / -5.73 F1,-17.17 Acc / -16.84 F1
AutoLaparo Phase,50.78 / 40.46,55.72 / 45.95,69.14 / 56.37,-4.94 Acc / -5.49 F1,-18.36 Acc / -15.91 F1
StrasBypass70 Phase,34.49 / 25.81,31.24 / 26.05,32.37 / 30.78,+3.25 Acc / -0.24 F1,+2.12 Acc / -4.97 F1
HeiChole Phase,47.15 / 36.23,56.95 / 44.00,63.84 / 55.15,-9.80 Acc / -7.77 F1,-16.69 Acc / -18.92 F1
BernBypass70 Phase,19.39 / 17.43,18.30 / 15.06,23.90 / 19.68,+1.09 Acc / +2.37 F1,-4.51 Acc / -2.25 F1
GraSP Phase,36.12 / 31.5,34.77 / 27.98,41.49 / 34.94,+1.35 Acc / +3.52 F1,-5.37 Acc / -3.44 F1
GraSP Step,21.16 / 15.02,14.15 / 11.14,26.28 / 16.53,+7.01 Acc / +3.88 F1,-5.12 Acc / -1.51 F1
SARRARP50 Action,12.71 / 9.86,13.94 / 7.62,17.42 / 7.76,-1.23 Acc / +2.24 F1,-4.71 Acc / +2.10 F1
CholeT50 Triplet mAP,3.37,4.17,5.28,-0.80,-1.91
Cholec80 Tool mAP,33.6,36.77,40.80,-3.17,-7.20
HeiChole Tool mAP,25.27,31.47,36.79,-6.20,-11.52
GraSP Tool mAP,39.55,43.06,45.97,-3.51,-6.42
