Task,Outputs13,SurgCLIP_beta,SurgCLIP,Delta_vs_beta,Delta_vs_full
Cholec80 Phase,48.62 / 32.57,57.98 / 39.42,61.29 / 50.53,-9.36 Acc / -6.85 F1,-12.67 Acc / -17.96 F1
AutoLaparo Phase,49.93 / 40.12,55.72 / 45.95,69.14 / 56.37,-5.79 Acc / -5.83 F1,-19.21 Acc / -16.25 F1
StrasBypass70 Phase,23.53 / 21.09,31.24 / 26.05,32.37 / 30.78,-7.71 Acc / -4.96 F1,-8.84 Acc / -9.69 F1
HeiChole Phase,44.44 / 37.15,56.95 / 44.00,63.84 / 55.15,-12.51 Acc / -6.85 F1,-19.40 Acc / -18.00 F1
BernBypass70 Phase,15.57 / 13.56,18.30 / 15.06,23.90 / 19.68,-2.73 Acc / -1.50 F1,-8.33 Acc / -6.12 F1
GraSP Phase,38.64 / 34.17,34.77 / 27.98,41.49 / 34.94,+3.87 Acc / +6.19 F1,-2.85 Acc / -0.77 F1
GraSP Step,20.98 / 14.18,14.15 / 11.14,26.28 / 16.53,+6.83 Acc / +3.04 F1,-5.30 Acc / -2.35 F1
SARRARP50 Action,26.84 / 8.97,13.94 / 7.62,17.42 / 7.76,+12.90 Acc / +1.35 F1,+9.42 Acc / +1.21 F1
CholeT50 Triplet mAP,4.18,4.17,5.28,+0.01,-1.10
Cholec80 Tool mAP,36.47,36.77,40.80,-0.30,-4.33
HeiChole Tool mAP,30.43,31.47,36.79,-1.04,-6.36
GraSP Tool mAP,47.84,43.06,45.97,+4.78,+1.87
