Task,Outputs11,SurgCLIP_beta,SurgCLIP,Delta_vs_beta,Delta_vs_full
Cholec80 Phase,"39.06 / 30.96","57.98 / 39.42","61.29 / 50.53","-18.92 Acc / -8.46 F1","-22.23 Acc / -19.57 F1"
AutoLaparo Phase,"53.52 / 42.93","55.72 / 45.95","69.14 / 56.37","-2.20 Acc / -3.02 F1","-15.62 Acc / -13.44 F1"
StrasBypass70 Phase,"31.59 / 25.24","31.24 / 26.05","32.37 / 30.78","+0.35 Acc / -0.81 F1","-0.78 Acc / -5.54 F1"
HeiChole Phase,"37.08 / 38.29","56.95 / 44.00","63.84 / 55.15","-19.87 Acc / -5.71 F1","-26.76 Acc / -16.86 F1"
BernBypass70 Phase,"20.92 / 17.97","18.30 / 15.06","23.90 / 19.68","+2.62 Acc / +2.91 F1","-2.98 Acc / -1.71 F1"
GraSP Phase,"28.15 / 21.06","34.77 / 27.98","41.49 / 34.94","-6.62 Acc / -6.92 F1","-13.34 Acc / -13.88 F1"
GraSP Step,"15.27 / 12.12","14.15 / 11.14","26.28 / 16.53","+1.12 Acc / +0.98 F1","-11.01 Acc / -4.41 F1"
SARRARP50 Action,"14.54 / 6.32","13.94 / 7.62","17.42 / 7.76","+0.60 Acc / -1.30 F1","-2.88 Acc / -1.44 F1"
CholeT50 Triplet mAP,4.17,4.17,5.28,+0.00,-1.11
Cholec80 Tool mAP,32.60,36.77,40.80,-4.17,-8.20
HeiChole Tool mAP,37.34,31.47,36.79,+5.87,+0.55
GraSP Tool mAP,41.79,43.06,45.97,-1.27,-4.18
